COMENTARIO,FONTE
😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17878009176138354/
"Bolsonaro é mort3, Bolsonaro é nordeste,cai 17",https://www.instagram.com/p/C-qlwTWRdJJ/c/18044821159821290/
"Pior, né man. A taxa só afeta os pobres, e os políticos vão lá e votam a favor",https://www.instagram.com/p/C-qlwTWRdJJ/c/18057457318777650/
😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17965538471792172/
Pelo menos foi convertido😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17937793493867644/
"Essa pica na minha bunda não vai entrar, mas agora em quem fez o L kkkkkkkkkkk",https://www.instagram.com/p/C-qlwTWRdJJ/c/17926911164941569/
Espero que piore .,https://www.instagram.com/p/C-qlwTWRdJJ/c/17927184269826814/
Com mais um minuto era 20:22,https://www.instagram.com/p/C-qlwTWRdJJ/c/18136983415355676/
Tinha que pegar o nome de todo mundo que votou no lula e mandar pra fora do país,https://www.instagram.com/p/C-qlwTWRdJJ/c/17940255677858308/
"Bolsonaro foi só promessas tb, tudo farinha do mesmo saco...",https://www.instagram.com/p/C-qlwTWRdJJ/c/18019833119399275/
Verdades que ninguém quer ouvir: não existe só lula ou bolsonaro,https://www.instagram.com/p/C-qlwTWRdJJ/c/18040287398097421/
Se apoio esse malfit900 vc merece taxação em 200%,https://www.instagram.com/p/C-qlwTWRdJJ/c/17947560923743066/
Lulista tem e que lascar mesmo,https://www.instagram.com/p/C-qlwTWRdJJ/c/17955186989818205/
,
"É o famoso taxadd, faz o L negada! 😂",https://www.instagram.com/p/C-qlwTWRdJJ/c/17997019619679656/
"Quem é Jesus?Para o cego, é a luz.Para o faminto, é o pão.Para o sedento, é a fonte de água viva.Para o morto, é a vida. Para o enfermo, é a cura.Para o prisioneiro, é a liberdade.Para o solitário, é o companheiro.Para o viajante, é o caminho.Para o sábio, é a sabedoria.Para a medicina, é o médico dos médicos.Para o réu, é o advogado.Para o advogado, é o juiz.Para o juiz, é a justiça.Para o cansado, o alívio.Para o pedreiro, é a pedra principal. Para o jardineiro, é a rosa de Sharon.Para o leitor, é a palavra.Para o pobre, é o tesouro.Para o devedor, é o perdão.Para mim, Ele é TUDO",https://www.instagram.com/p/C-qlwTWRdJJ/c/18026083586106189/
Olha tu,https://www.instagram.com/p/C-qlwTWRdJJ/c/18054267190746400/
🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18035184730965165/
Prefiro um milhão de vezes pagar a Taxa,https://www.instagram.com/p/C-qlwTWRdJJ/c/17863808154214129/
"Bem feito, se eu soubesse que o lul@ ia ferrar tanto o petista, eu tinha votado nele",https://www.instagram.com/p/C-qlwTWRdJJ/c/17866794630194359/
Já é tarde 🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/17984081933586461/
Gamer que faz L faz amor com o bumbum,https://www.instagram.com/p/C-qlwTWRdJJ/c/17854634907260450/
😂Ⓜ️,https://www.instagram.com/p/C-qlwTWRdJJ/c/18031748390018036/
"trocou 6 por meia dúzia 😂, agora é Marçalismo",https://www.instagram.com/p/C-qlwTWRdJJ/c/18025302506519020/
O único ex que tenho saudades 🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18026618357103882/
😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18307923889088253/
"Obrigado meu Deus,  por nunca ter feito o L🙌🙌🇧🇷🙏🏻",https://www.instagram.com/p/C-qlwTWRdJJ/c/17929406858926458/
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18014538560316209/
Haddad criou a remessa conforme pela 2146/24 da RFB,https://www.instagram.com/p/C-qlwTWRdJJ/c/17891828018999657/
KKKKKKKKKKKKKKKKK MELHOR COMENTÁRIO 😂👏🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18034292617983962/
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18007161911404574/
como que chama esse relogio embaixo do monitor?,https://www.instagram.com/p/C-qlwTWRdJJ/c/18039422621504874/
😂😂😂😂😂o lombra,https://www.instagram.com/p/C-qlwTWRdJJ/c/18071188591569118/
Sempre na oposição 👏👏,https://www.instagram.com/p/C-qlwTWRdJJ/c/18040866347072364/
😂😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18015726206291479/
Pior que o povo só percebe depois que o grosso entra 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18034788700968039/
🤣🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/17958279014807219/
,
L de Ladrão,https://www.instagram.com/p/C-qlwTWRdJJ/c/18176315500307765/
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18045340210786619/
O importante é se arrepender e na próxima eleição n fazer isso denovo,https://www.instagram.com/p/C-qlwTWRdJJ/c/18244717570262198/
🇧🇷🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18459218908020120/
O povo respira ódio viu. Pode nem brincar mais que o ódio destila nos comentários.,https://www.instagram.com/p/C-qlwTWRdJJ/c/18250638331252847/
Todo fumo pra petista é pouco,https://www.instagram.com/p/C-qlwTWRdJJ/c/18060548410650399/
Que sdd do mitoo🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18019420487579415/
"Geral dizêndo que acha pouco e não carreega essa culpa, mas tá no mesmo barco 🤣 tomando o grosso desde de setembro.",https://www.instagram.com/p/C-qlwTWRdJJ/c/18028607033204867/
Faz o L amigo,https://www.instagram.com/p/C-qlwTWRdJJ/c/17874070737158793/
Se eu soubesse que Lula ia complicar tanto a vida dos eleitores dele eu teria votado nele 🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18311035741089540/
😂😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18114143530396409/
Meu primo aí kkkkkkkkkkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/17922308027956725/
Xandão mandou fzr dele tb se não o perfil cai 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18019098620232956/
🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/17923604117953385/
,
Merece tomar umas madeirada na rua pra aprender a parar de ser burro,https://www.instagram.com/p/C-qlwTWRdJJ/c/18323232802149525/
Os caras escolhe voto baseado em quem vai taxar mais os vídeo gamezinho  deles 🤣🤣🤣🤣 ( obs: nao voto em nenhum desses dois merdas),https://www.instagram.com/p/C-qlwTWRdJJ/c/17868211536189537/
👏,https://www.instagram.com/p/C-qlwTWRdJJ/c/17983898117590734/
Vcs aí,https://www.instagram.com/p/C-qlwTWRdJJ/c/18310378006089499/
"""vão sentir falta da gente"" Bolsonaro, Jair - 2022",https://www.instagram.com/p/C-qlwTWRdJJ/c/18059204794737993/
Faz o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/18248785042248649/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18033972155131812/
A regra e clara nao existe gamer petista!!,https://www.instagram.com/p/C-qlwTWRdJJ/c/17927757647942586/
Quebraram a cara.,https://www.instagram.com/p/C-qlwTWRdJJ/c/17894319831066870/
😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18030204098032776/
E por incrível q parece a hora do pt era 20:13 🤡,https://www.instagram.com/p/C-qlwTWRdJJ/c/18040061653891719/
😍😂🙌🙌🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/17940209303778468/
🇧🇷🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18046310212756809/
"Fez o L, merecido.",https://www.instagram.com/p/C-qlwTWRdJJ/c/17965753259789468/
"Fake news, não existe gamer comedor de capim....😂😂😂😂",https://www.instagram.com/p/C-qlwTWRdJJ/c/18040522691070243/
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17929897301926051/
"os cara não entende um meme, fica disseminando ódio pra cima do caba 🤣",https://www.instagram.com/p/C-qlwTWRdJJ/c/18281591743236292/
😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18044788750806147/
essa culpa eu nunca carreguei,https://www.instagram.com/p/C-qlwTWRdJJ/c/17905294574942626/
🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18017076101598720/
🙌,https://www.instagram.com/p/C-qlwTWRdJJ/c/17895401802064300/
"Gamer n vota no L, Bolsonaro que reduziu as taxas sobre games e consoles",https://www.instagram.com/p/C-qlwTWRdJJ/c/18064256242627750/
Prestem atenção no relogio,https://www.instagram.com/p/C-qlwTWRdJJ/c/18024859391124567/
Se votou no pt bem feito,https://www.instagram.com/p/C-qlwTWRdJJ/c/18246019837251610/
Nunca fui petista/esquerdista nem nos meus pesadelos...,https://www.instagram.com/p/C-qlwTWRdJJ/c/17941646075765271/
"Tinha que ter é mais nd, poha de lula",https://www.instagram.com/p/C-qlwTWRdJJ/c/18249364174250290/
Qual o nome desse relógio que fica embaixo do monitor?,https://www.instagram.com/p/C-qlwTWRdJJ/c/18244660870260215/
Quem confia em governo ou é inocente ou não tem inteligência,https://www.instagram.com/p/C-qlwTWRdJJ/c/17966261042789401/
Pior q tem um fisiculturista que era parecido com Bolsonaro,https://www.instagram.com/p/C-qlwTWRdJJ/c/18454507072027875/
Mais quem votou nas taxas foi o congresso e a maioria e de direita!,https://www.instagram.com/p/C-qlwTWRdJJ/c/17974779281717195/
Mas os deputados q aprovaram são do PL cara kkkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/18456388111031440/
,https://www.instagram.com/p/C-qlwTWRdJJ/c/18027508961077648/
Se acha que existe alguma diferença entre os dois?,https://www.instagram.com/p/C-qlwTWRdJJ/c/18025973480365875/
Kkkkkkkkkk pesado !!,https://www.instagram.com/p/C-qlwTWRdJJ/c/17964806141659636/
PC ficou inelegível,https://www.instagram.com/p/C-qlwTWRdJJ/c/18108501472411142/
,
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17917810550883751/
,
Sempre fui Bolsomito 🇧🇷2️⃣2️⃣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18060304255730603/
😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18015520361530267/
Minhas compras da Express mano.  Minha hazer nova 😢,https://www.instagram.com/p/C-qlwTWRdJJ/c/18128930002370252/
Vc ajudou que acontecesse isso. Então tem que se fuder,https://www.instagram.com/p/C-qlwTWRdJJ/c/18025679654371912/
Falta de aviso não foi kkkkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/18046055740935042/
Se fez o L nem gente é,https://www.instagram.com/p/C-qlwTWRdJJ/c/17872092105171929/
Quando chega minha vez de comprar um PC o deficiente de dedo taxa a poura toda,https://www.instagram.com/p/C-qlwTWRdJJ/c/17969132438645007/
"Eu acho pouco, agora chora petralha 😂😂😂",https://www.instagram.com/p/C-qlwTWRdJJ/c/17937333653906959/
